中央电视塔,#genre#
CCTVNEWS,http://117.43.218.137:20000/hls/41/index.m3u8
CCTV发现之旅,http://117.43.218.137:20000/hls/65/index.m3u8
CCTV1高清,http://117.43.218.137:20000/hls/1/index.m3u8
CCTV1综合,http://123.10.79.201:808/hls/1/index.m3u8
CCTV1综合,http://182.126.117.20:808/hls/1/index.m3u8
CCTV1综合,http://61.52.156.194:808/hls/1/index.m3u8
CCTV1综合,http://123.10.77.232:808/hls/1/index.m3u8
CCTV2高清,http://113.110.72.121:808/hls/114/index.m3u8
CCTV2财经,http://123.10.79.201:808/hls/2/index.m3u8
CCTV2财经,http://182.126.117.20:808/hls/2/index.m3u8
CCTV2财经,http://61.52.156.194:808/hls/2/index.m3u8
CCTV2财经,http://123.10.77.232:808/hls/2/index.m3u8
CCTV2高清,http://113.101.119.52:808/hls/114/index.m3u8
CCTV3高清,http://113.110.72.121:808/hls/115/index.m3u8
CCTV3综艺,http://123.10.79.201:808/hls/3/index.m3u8
CCTV3综艺,http://182.126.117.20:808/hls/3/index.m3u8
CCTV3综艺,http://61.52.156.194:808/hls/3/index.m3u8
CCTV3综艺,http://123.10.77.232:808/hls/3/index.m3u8
CCTV3高清,http://113.101.119.52:808/hls/115/index.m3u8
CCTV4高清,http://113.110.72.121:808/hls/116/index.m3u8
CCTV4国际,http://123.10.79.201:808/hls/4/index.m3u8
CCTV4国际,http://182.126.117.20:808/hls/4/index.m3u8
CCTV4国际,http://61.52.156.194:808/hls/4/index.m3u8
CCTV4国际,http://123.10.77.232:808/hls/4/index.m3u8
CCTV4高清,http://113.101.119.52:808/hls/116/index.m3u8
CCTV5+高清,http://117.43.218.137:20000/hls/2/index.m3u8
CCTV5体育,http://113.110.72.121:808/hls/58/index.m3u8
CCTV5+体育赛事,http://113.110.72.121:808/hls/10/index.m3u8
CCTV5体育,http://123.10.79.201:808/hls/5/index.m3u8
CCTV5体育,http://182.126.117.20:808/hls/5/index.m3u8
CCTV5体育,http://61.52.156.194:808/hls/5/index.m3u8
CCTV5体育,http://123.10.77.232:808/hls/5/index.m3u8
CCTV5体育,http://113.101.119.52:808/hls/58/index.m3u8
CCTV5+体育赛事,http://113.101.119.52:808/hls/10/index.m3u8
CCTV6高清,http://113.110.72.121:808/hls/118/index.m3u8
CCTV6电影,http://123.10.79.201:808/hls/6/index.m3u8
CCTV6电影,http://182.126.117.20:808/hls/6/index.m3u8
CCTV6电影,http://61.52.156.194:808/hls/6/index.m3u8
CCTV6电影,http://123.10.77.232:808/hls/6/index.m3u8
CCTV6高清,http://113.101.119.52:808/hls/118/index.m3u8
CCTV7军农,http://117.43.218.137:20000/hls/29/index.m3u8
CCTV7高清,http://113.110.72.121:808/hls/119/index.m3u8
CCTV7军农,http://123.10.79.201:808/hls/7/index.m3u8
CCTV7军农,http://182.126.117.20:808/hls/7/index.m3u8
CCTV7军农,http://61.52.156.194:808/hls/7/index.m3u8
CCTV7军农,http://123.10.77.232:808/hls/7/index.m3u8
CCTV7高清,http://113.101.119.52:808/hls/119/index.m3u8
CCTV8高清,http://113.110.72.121:808/hls/120/index.m3u8
CCTV8电视剧,http://123.10.79.201:808/hls/8/index.m3u8
CCTV8电视剧,http://182.126.117.20:808/hls/8/index.m3u8
CCTV8电视剧,http://61.52.156.194:808/hls/8/index.m3u8
CCTV8电视剧,http://123.10.77.232:808/hls/8/index.m3u8
CCTV8高清,http://113.101.119.52:808/hls/120/index.m3u8
CCTV9高清,http://113.110.72.121:808/hls/121/index.m3u8
CCTV9纪录,http://123.10.79.201:808/hls/9/index.m3u8
CCTV9纪录,http://182.126.117.20:808/hls/9/index.m3u8
CCTV9纪录,http://61.52.156.194:808/hls/9/index.m3u8
CCTV9纪录,http://123.10.77.232:808/hls/9/index.m3u8
CCTV9高清,http://113.101.119.52:808/hls/121/index.m3u8
CCTV10高清,http://113.110.72.121:808/hls/122/index.m3u8
